"","Id","IncidentId","ActionGrouped","ActionGranular","LastVerdict","IncidentGrade"
"1",936302872206,56426,"IsolateDevice","isolateresponse","Suspicious","TruePositive"
"2",627065227429,138497,"IsolateDevice","isolateresponse","Suspicious","TruePositive"
"3",807453856769,8065,"IsolateDevice","isolateresponse","Suspicious","TruePositive"
"4",970662611054,327814,"IsolateDevice","quarantinefile","Suspicious","TruePositive"
"5",652835031931,5371,"IsolateDevice","isolateresponse","Suspicious","BenignPositive"
"6",1142461302561,40983,"IsolateDevice","isolateresponse","Suspicious","FalsePositive"
"7",1468878819531,119255,"IsolateDevice","isolateresponse","Suspicious","TruePositive"
"8",1082331763397,19426,"ContainAccount","change user password.","Suspicious","BenignPositive"
"9",1125281436175,766,"ContainAccount","change user password.","Suspicious","BenignPositive"
"10",652835031931,5371,"IsolateDevice","isolateresponse","Suspicious","BenignPositive"
"11",944892806895,149721,"IsolateDevice","isolateresponse","Suspicious","BenignPositive"
"12",1606317768705,136510,"IsolateDevice","isolateresponse","Suspicious","TruePositive"
"13",661424964423,16673,"IsolateDevice","isolateresponse","Suspicious","TruePositive"
"14",335007451196,22431,"IsolateDevice","quarantinefile","Suspicious","TruePositive"
"15",1477468750438,486,"ContainAccount","disable account.","NoThreatsFound","TruePositive"
"16",1597727836270,2524,"IsolateDevice","isolateresponse","Suspicious","TruePositive"
"17",1640677509291,30292,"IsolateDevice","isolateresponse","Suspicious","TruePositive"
"18",274877911442,107445,"IsolateDevice","isolateresponse","Suspicious","BenignPositive"
"19",481036341936,53890,"IsolateDevice","isolateresponse","Suspicious","TruePositive"
"20",652835031931,5371,"IsolateDevice","isolateresponse","Suspicious","BenignPositive"
"21",42949676019,42772,"IsolateDevice","isolateresponse","Suspicious","FalsePositive"
"22",1142461302921,384875,"IsolateDevice","quarantinefile","Suspicious","TruePositive"
"23",463856468397,30491,"ContainAccount","change user password.","NoThreatsFound","TruePositive"
"24",1005022349570,30860,"ContainAccount","update stsrefreshtokenvalidfrom timestamp.","Malicious","TruePositive"
"25",876173330595,32660,"IsolateDevice","quarantinefile","Suspicious","FalsePositive"
"26",1597727836270,2524,"IsolateDevice","isolateresponse","Suspicious","TruePositive"
